behavior,Qp1,Qp2,evidence,arbitration,subject
0,-0.37147,-0.045875,-1.8773,1.1856,1
1,-0.31216,-0.02512,-1.8813,1.1104,1
1,-0.25556,0.0051513,-1.4363,1.023,1
0,-0.25129,0.035887,0.61337,1.0114,1
0,-0.24598,0.041926,-0.30898,0.98881,1
1,-0.22925,0.0037942,0.39331,0.96047,1
1,-0.21758,-0.023279,0.19508,0.93663,1
0,-0.21199,-0.0081455,0.0051472,0.90577,1
0,-0.20886,0.0028188,-0.048219,0.90041,1
1,-0.19195,0.0034361,-0.95324,0.79832,1
0,-0.14659,0.010325,-1.8346,0.68586,1
0,-0.10935,0.045955,-0.49281,0.56328,1
0,-0.10429,0.029095,0.087136,0.60846,1
1,-0.090113,0.071778,0.65512,0.48441,1
0,-0.072843,0.12718,0.98881,0.35192,1
0,-0.076827,0.074237,1.4172,0.37284,1
0,-0.073773,0.117,1.0898,0.37974,1
0,-0.093911,0.13977,-0.28736,0.43873,1
0,-0.10659,0.1456,-0.60245,0.494,1
0,-0.14205,0.13619,-1.3598,0.58472,1
0,-0.19044,0.13709,-2.1664,0.63166,1
0,-0.23295,0.15431,-1.3548,0.5844,1
0,-0.2547,0.18743,0.019319,0.53652,1
0,-0.2516,0.22093,0.75807,0.50278,1
0,-0.24282,0.22087,-0.65725,0.47012,1
0,-0.22386,0.21703,-0.91775,0.37513,1
0,-0.19615,0.23216,-0.85455,0.21022,1
0,-0.19113,0.1903,0.9811,0.29119,1
0,-0.1793,0.20613,-0.21257,0.14567,1
0,-0.19436,0.16495,0.56674,0.18007,1
0,-0.19748,0.10222,1.8007,0.21303,1
0,-0.22246,0.051192,0.53296,0.2446,1
0,-0.23524,0.089524,0.55406,0.37812,1
0,-0.25115,0.12434,0.30673,0.49826,1
0,-0.28975,0.12554,-1.7749,0.58798,1
0,-0.31695,0.13175,-1.1531,0.6856,1
0,-0.33303,0.14156,-0.59247,0.77262,1
0,-0.3718,0.18004,-0.45059,0.85005,1
0,-0.39915,0.20997,-0.31243,0.91885,1
0,-0.44082,0.2454,-0.67176,0.97994,1
0,-0.4733,0.20949,-0.29774,1.0942,1
0,-0.46795,0.15188,1.5309,1.1481,1
0,-0.48585,0.14356,-0.71678,1.1871,1
0,-0.50444,0.13923,-0.88593,1.2009,1
0,-0.52601,0.16143,-0.36377,1.1901,1
0,-0.51812,0.13651,0.26499,1.1756,1
0,-0.46075,0.14872,-2.1113,1.099,1
0,-0.39679,0.17821,-1.7501,1.0101,1
0,-0.35069,0.22076,-0.59015,0.90812,1
0,-0.31388,0.23453,-1.2565,0.79254,1
0,-0.28728,0.20896,-0.43852,0.80427,1
0,-0.24752,0.15639,0.013607,0.81555,1
0,-0.094682,-0.058089,-0.81205,-1.0891,1
1,-0.13161,-0.10995,0.09884,-1.0891,1
0,-0.14908,-0.085,-0.10606,-0.97633,1
0,-0.12911,-0.12484,0.32832,-0.97554,1
0,-0.12121,-0.069319,1.3575,-0.93883,1
0,-0.12046,-0.11334,1.2244,-0.90093,1
1,-0.12089,-0.058122,1.6368,-0.75798,1
1,-0.090101,-0.089861,-0.38112,-0.69146,1
0,-0.086699,-0.032744,1.589,-0.59445,1
0,-0.091476,-0.05886,0.4287,-0.48307,1
0,-0.089193,-0.057885,-0.37203,-0.60525,1
0,-0.086971,-0.036815,0.34775,-0.712,1
0,-0.079028,-0.051507,-0.10219,-0.62056,1
0,-0.030847,-0.026832,-1.3091,-0.52264,1
1,0.023007,-0.031726,-2.2357,-0.49028,1
1,0.053493,-0.070443,-0.12021,-0.36572,1
0,0.070468,-0.065392,-0.79734,-0.43977,1
0,0.088155,-0.057958,-0.73989,-0.51298,1
0,0.10538,-0.044431,-0.50436,-0.58518,1
1,0.14064,-0.047606,-1.5748,-0.61261,1
1,0.15187,-0.050698,-0.64392,-0.5814,1
1,0.16626,-0.031074,-0.17692,-0.62103,1
0,0.19646,-0.011965,-0.80919,-0.65983,1
0,0.19467,-0.034852,0.42937,-0.66279,1
0,0.19755,-0.04205,-0.17293,-0.62123,1
0,0.21422,-0.021396,-0.22832,-0.43935,1
1,0.23738,-0.069186,0.48811,-0.30987,1
0,0.27959,-0.094347,-1.0595,-0.18767,1
0,0.26175,-0.12011,-0.091449,-0.18317,1
0,0.20625,-0.11501,-2.2928,-0.2988,1
0,0.14526,-0.082386,-1.5227,-0.41477,1
0,0.11476,-0.11097,-0.48234,-0.58185,1
0,0.10586,-0.10109,-0.31091,-0.55579,1
0,0.10067,-0.08769,-0.041717,-0.63511,1
0,0.077114,-0.088475,-1.2052,-0.78655,1
0,0.085382,-0.094269,-0.4325,-0.80518,1
0,0.12695,-0.11249,-1.2826,-0.74167,1
0,0.15933,-0.11639,-1.4369,-0.74132,1
0,0.18278,-0.1202,-1.0933,-0.74098,1
0,0.19406,-0.12516,-0.57913,-0.64693,1
0,0.20851,-0.15766,0.28076,-0.55645,1
1,0.21795,-0.11637,0.7889,-0.34915,1
0,0.23871,-0.11389,-1.036,-0.29508,1
1,0.23928,-0.13033,0.24695,-0.29564,1
0,0.27103,-0.17276,-0.03724,-0.2962,1
0,0.29156,-0.18263,-0.76296,-0.1847,1
1,0.33119,-0.17967,-1.7522,-0.11341,1
0,0.37671,-0.15793,-1.3106,0.066482,1
1,0.40834,-0.14178,-0.97028,0.22955,1
0,0.41602,-0.17384,0.52817,0.39221,1
0,0.44892,-0.15477,-0.91539,0.54381,1
0,0.45207,-0.13116,0.40228,0.65836,1
0,0.44012,-0.07296,1.2953,0.58873,1
0,0.42963,-0.028862,0.84897,0.53556,1
1,0.42404,-0.076456,1.164,0.4982,1
0,0.42322,-0.022206,1.587,0.61324,1
1,0.42936,-0.038538,0.026579,0.68225,1
