behavior,Qp1,Qp2,evidence,arbitration,subject
1,0.96173,1.8134,-0.49336,0.51207,1
1,0.50089,1.5679,-0.61271,0.51193,1
1,1.6879,0.65152,-0.71456,0.51193,1
1,1.7046,0.1972,0.11258,0.51193,1
1,1.2375,0.46381,-0.5971,0.51193,1
1,0.55282,0.80538,-0.76267,0.51193,1
0,-0.064123,-0.042374,-0.14419,0.51193,1
0,1.3105,-0.90479,-0.9843,0.51193,1
0,1.8818,-0.4928,-0.55922,0.51193,1
1,1.7527,-0.30894,-0.304,0.51193,1
1,1.7856,1.9208,1.9951,0.58795,1
1,1.3973,1.4085,-0.24504,0.58466,1
1,1.379,0.97309,0.090568,0.58451,1
1,1.5341,0.047759,0.46055,0.58451,1
1,1.0346,0.70359,-0.21708,0.61661,1
1,0.77722,0.19964,-0.10612,0.61439,1
1,0.33628,0.176,-0.82771,0.61428,1
1,0.15964,1.2443,0.58931,0.61428,1
0,-0.82333,0.842,-1.0345,0.61428,1
0,-0.44059,-0.7399,0.90636,0.64997,1
0,-1.1244,-0.89639,-0.95983,0.65212,1
0,-1.7023,-1.8086,-0.031045,0.65222,1
0,-0.87171,-1.6046,-1.0748,0.65222,1
0,-0.44286,-1.4717,-0.69701,0.65222,1
0,-0.89059,-0.23147,0.46712,0.65222,1
0,-1.4574,0.032375,-0.71274,0.65222,1
0,-1.3671,-0.77789,0.41046,0.68912,1
0,-1.6747,-0.24005,-0.12665,0.69079,1
0,-1.1823,-0.87293,-0.23357,0.69072,1
0,-0.65237,-1.026,-0.78966,0.69071,1
0,-1.6022,-2.0204,-0.36323,0.69071,1
1,1.6638,0.53692,-1.6761,-1.6354,1
1,1.3136,0.39748,-0.60125,-1.6354,1
1,1.804,1.2958,0.052928,-1.6354,1
1,1.827,1.2969,-0.37987,-1.6354,1
1,1.5552,1.5848,-0.3537,-1.6354,1
1,1.4254,1.7629,-0.31087,-1.6354,1
1,0.52265,1.5656,-1.1635,-1.6354,1
1,1.377,1.1039,-0.82567,-1.6354,1
1,1.807,1.5347,-0.3794,-1.6354,1
1,1.4373,1.1024,-0.30979,-1.6354,1
1,1.3809,1.658,0.17622,-1.6354,1
1,0.71549,1.8897,-0.85851,-1.6354,1
1,0.76225,-1.6368,3.3679,-1.6354,1
1,-0.32721,1.2827,1.5402,-1.5111,1
0,-1.314,2.0366,-0.6624,-1.5065,1
0,-1.3213,-1.0952,2.9898,-1.1956,1
0,-0.77586,-1.4889,-0.54957,-1.192,1
0,-0.47735,-1.713,-0.45218,-1.1918,1
0,-0.073469,-1.1888,-0.24993,-1.1919,1
0,-0.28844,-1.4522,-0.31586,-1.1919,1
0,-0.68841,-0.80641,-0.11536,-1.1919,1
0,-1.214,-1.5165,-0.18842,-1.1919,1
0,-1.4336,-1.5087,-0.59465,-1.1919,1
0,-1.5999,-1.2204,-0.2341,-1.1919,1
0,-0.90589,-0.50761,-0.37572,-1.1919,1
0,-1.2242,-1.7904,0.65888,-1.1919,1
0,-1.2391,-1.8506,-0.3074,-1.1919,1
0,-1.0449,-1.4421,-0.13701,-1.1919,1
0,-0.7239,-0.97046,-0.21263,-1.1919,1
0,-1.7615,-0.98947,-1.5066,-1.1919,1
0,-1.0304,-0.24998,-0.38901,-1.1919,1
0,-1.6199,-0.25642,-1.0139,-1.1919,1
0,-0.82885,-0.051059,-1.0287,-1.1919,1
0,0.57283,-0.49388,-1.4641,-1.1919,1
1,-0.14116,1.7887,1.2824,-1.1542,1
1,-0.6815,-1.5593,2.6192,-0.94155,1
1,-0.74584,1.5742,2.9272,-0.68891,1
0,-1.0997,-0.62328,1.598,-0.54691,1
0,-1.1943,0.71324,0.96914,-0.37401,1
0,-1.4327,0.40576,-0.29501,-0.3043,1
0,-1.9117,0.55586,-0.73535,-0.21167,1
0,-1.0375,-0.75333,0.05922,-0.2159,1
0,-1.4643,-0.60909,-0.68267,-0.2157,1
1,-0.080788,-0.72572,-1.7929,-0.21571,1
1,-0.75664,0.87296,0.59326,-0.14972,1
0,-1.2952,0.043061,-0.074752,-0.09052,1
0,-0.81362,0.37431,-0.54427,-0.096674,1
0,-1.1419,-1.3377,1.1072,-0.0052252,1
0,0.051301,-1.5003,-1.5287,-0.0068422,1
1,-1.1013,0.83662,0.84509,0.055617,1
1,0.13118,0.16475,-1.0278,0.026717,1
0,-0.083905,-0.11356,-0.29994,0.032928,1
0,1.1536,-1.0315,-0.76997,0.034007,1
1,0.62685,-1.3214,-0.63962,0.033993,1
1,1.031,1.9556,2.697,0.16659,1
1,0.81604,1.7803,-0.41009,0.16073,1
0,-0.63659,0.37356,-0.48967,0.16046,1
0,-0.93867,0.76001,-0.28243,0.17827,1
1,0.68464,-0.62035,-0.71068,0.16943,1
1,1.5795,0.46658,-0.20207,0.24474,1
1,1.5825,0.64098,-0.17164,0.24859,1
1,0.53002,0.97822,-1.1828,0.24857,1
0,-0.41608,1.5288,-0.83419,0.24857,1
0,-0.34351,-0.66655,1.9135,0.31006,1
1,1.4143,-1.4277,-1.5256,0.31278,1
1,1.6528,1.0046,1.9798,0.43859,1
1,0.84521,0.54282,-0.77278,0.43255,1
1,0.5734,0.76795,-0.42096,0.43255,1
1,1.2234,0.94304,-0.90175,0.43256,1
1,0.90304,1.0747,-0.57595,0.43256,1
1,1.5508,0.71064,-0.69691,0.43256,1
1,0.56751,1.4751,-0.64719,0.43256,1
0,-0.25837,1.3053,-1.1061,0.43256,1
0,-0.687,-0.26571,0.84286,0.45855,1
0,-0.86306,0.73001,0.51224,0.45648,1
0,-0.98828,-0.4161,0.73067,0.51156,1
1,0.56535,0.023713,-1.639,0.50866,1
1,1.0281,-1.313,0.55348,0.50864,1
0,0.504,0.55748,1.0557,0.55128,1
1,1.0252,-0.91778,0.63576,0.58846,1
1,0.69881,1.2753,1.6243,0.63826,1
1,0.56653,-0.14372,1.0149,0.63559,1
1,1.7299,0.98253,-0.46328,0.65623,1
1,1.1997,-0.73331,0.88318,0.70609,1
1,1.7597,0.29675,0.11539,0.73763,1
1,0.85023,-0.80662,-0.20089,0.73579,1
1,0.49566,1.1571,1.347,0.76079,1
1,0.36206,1.2081,-0.45127,0.76031,1
1,0.51174,0.92256,-0.21834,0.76031,1
1,0.050913,1.4027,-0.36138,0.76031,1
